email,name
user0@yahoo.com,Evan Cho
,Carla Diaz
user2@yahoo.com,Bob Lee
user3@gmail.com,Carla Diaz
user4@gmail.com,Carla Diaz
user5@hotmail.com,Dev Patel
@nodomain.com,Alice Smith
user7@yahoo.com,Evan Cho
user8@yahoo.com,Carla Diaz
user9@yahoo.com,Dev Patel
user10@hotmail.com,Alice Smith
,Carla Diaz
user12@gmail.com,Alice Smith
user13@gmail.com,Carla Diaz
user14@hotmail.com,Evan Cho
user15@gmail.com,Evan Cho
user@@x.com,Carla Diaz
user17@gmail.com,Carla Diaz
user18@hotmail.com,Alice Smith
@nodomain.com,Evan Cho
user20@yahoo.com,Carla Diaz
bad@,Dev Patel
,Evan Cho
,Bob Lee
user24@hotmail.com,Carla Diaz
user25@yahoo.com,Evan Cho
user26@yahoo.com,Dev Patel
user27@yahoo.com,Bob Lee
user@@x.com,Alice Smith
user29@gmail.com,Alice Smith
user30@hotmail.com,Alice Smith
user31@yahoo.com,Dev Patel
user32@yahoo.com,Alice Smith
user33@yahoo.com,Carla Diaz
@nodomain.com,Alice Smith
user35@gmail.com,Dev Patel
,Alice Smith
@nodomain.com,Alice Smith
user@@x.com,Bob Lee
user39@yahoo.com,Carla Diaz
user40@yahoo.com,Dev Patel
user41@hotmail.com,Evan Cho
user42@yahoo.com,Dev Patel
user43@yahoo.com,Bob Lee
user44@yahoo.com,Carla Diaz
user45@gmail.com,Carla Diaz
user46@hotmail.com,Evan Cho
user47@yahoo.com,Carla Diaz
user48@gmail.com,Dev Patel
user49@hotmail.com,Carla Diaz
